Uу, В.	E, В.	I_n, А.	U_n, В.	I1, А.	I_VT, А.	I_VT_RMS, А.	U_VT_max, В.	I_VT_max, А.	Gamma	P_1, Вт.	P_T, Вт.	P_n, Вт.
-1.9	0	-209.54	-209.53	199.05	5.24	33.16	223	-209.43	0.025	44786.25	11.58	43905
-1.5	0	-165.42	-165.42	124.16	20.63	58.38	223	-165	0.125	27936	44.67	27364
-1	0	-110.28	-110.28	55.43	27.43	55	223.01	-109.61	0.25	12471.75	57.89	12162
-0.5	0	-55.14	-55.14	14.23	20.45	33.95	223.01	-54.36	0.375	3201.75	42.05	3040
0	0	0	0	0.51	0.25	7.51	223.02	0.77	0.5	114.75	0.56	0
0.5	0	55.14	55.14	14.23	34.69	44.57	223.07	55.8	0.625	3201.75	71.37	3040
1	0	110.28	110.28	55.43	82.85	95.92	223.12	110.76	0.75	12471.75	174.9	12162
1.5	0	165.42	165.42	124.16	144.79	154.85	223.17	165.67	0.875	27936	313.56	27364
1.9	0	209.53	209.53	199.06	204.3	206.9	223.21	209.58	0.975	44788.5	451.41	43903
-1.9	50	-159.64	-209.63	151.65	3.99	25.27	223	-159.53	0.025	34121.25	8.62	33465
-1.5	50	-115.52	-165.52	86.74	14.39	40.74	223.01	-115.1	0.125	19516.5	30.44	19121
-1	50	-60.38	-110.38	30.48	14.95	30.17	223.01	-59.71	0.25	6858	30.81	6665
-0.5	50	-5.24	-55.24	1.76	1.74	6.73	223.02	-4.46	0.375	396	3.53	289
0	50	49.9	0.1	0.51	25.2	36.43	223.07	50.67	0.5	114.75	51.73	5
0.5	50	105.04	55.04	26.71	65.87	83.7	223.12	105.7	0.625	6009.75	138.75	5781
1	50	160.18	110.18	80.38	120.28	139.06	223.17	160.66	0.75	18085.5	259.9	17649
1.5	50	215.32	165.32	161.59	188.45	201.51	223.22	215.57	0.875	36357.75	417.51	35597
1.9	50	259.43	209.43	246.47	252.95	256.17	223.26	259.48	0.975	55455.75	571.52	54332
-1.9	100	-109.74	-209.73	104.24	2.75	17.38	223	-109.63	0.025	23454	5.8	23016
-1.5	100	-65.62	-165.62	49.31	8.16	23.13	223.01	-65.2	0.125	11094.75	16.85	10868
-1	100	-10.48	-110.48	5.52	2.48	6.37	223.01	-9.8	0.25	1242	5	1158
-0.5	100	-44.66	-55.34	10.72	16.97	28.37	223.06	45.44	0.375	2412	34.74	2471
0	100	99.8	0.2	0.51	50.16	71.33	223.12	100.57	0.5	114.75	105.41	20
0.5	100	154.94	54.94	39.18	97.06	123.03	223.17	155.6	0.625	8815.5	209.26	8512
1	100	210.08	110.08	105.33	157.7	182.23	223.22	210.56	0.75	23699.25	348.61	23126
1.5	100	265.22	165.22	199.01	232.12	248.18	223.27	265.47	0.875	44777.25	525.83	43820
1.9	100	309.33	209.33	293.87	301.6	305.45	223.31	309.38	0.975	66120.75	696.5	64752
